id,tank_model,diameter,height,net_capacity,gross_capacity,ideal_price,nrp
495,SST1555-108(ETP),29.03,10.8,7149,7149,100494,100494
496,SST1630-24(ETP),29.79,2.4,1673,1673,100495,100495
497,SST1630-36(ETP),29.79,3.6,2510,2510,100496,100496
498,SST1630-48(ETP),29.79,4.8,3346,3346,100497,100497
499,SST1630-60(ETP),29.79,6,4183,4183,100498,100498
500,SST1630-72(ETP),29.79,7.2,5019,5019,100499,100499
501,SST1630-84(ETP),29.79,8.4,5856,5856,100500,100500
502,SST1630-96(ETP),29.79,9.6,6692,6692,100501,100501
503,SST1630-108(ETP),29.79,10.8,7529,7529,100502,100502
504,SST1720-24(ETP),30.56,2.4,1761,1761,100503,100503
505,SST1720-36(ETP),30.56,3.6,2641,2641,100504,100504
506,SST1720-48(ETP),30.56,4.8,3521,3521,100505,100505
507,SST1720-60(ETP),30.56,6,4402,4402,100506,100506
508,SST1720-72(ETP),30.56,7.2,5282,5282,100507,100507
509,SST1720-84(ETP),30.56,8.4,6162,6162,100508,100508
510,SST1720-96(ETP),30.56,9.6,7042,7042,100509,100509
511,SST1720-108(ETP),30.56,10.8,7923,7923,100510,100510
512,SST1810-24(ETP),31.32,2.4,1849,1849,100511,100511
513,SST1810-36(ETP),31.32,3.6,2774,2774,100512,100512
514,SST1810-48(ETP),31.32,4.8,3699,3699,100513,100513
515,SST1810-60(ETP),31.32,6,4623,4623,100514,100514
516,SST1810-72(ETP),31.32,7.2,5548,5548,100515,100515
517,SST1810-84(ETP),31.32,8.4,6472,6472,100516,100516
518,SST1810-96(ETP),31.32,9.6,7397,7397,100517,100517
519,SST1810-108(ETP),31.32,10.8,8322,8322,100518,100518
520,SST1900-24(ETP),32.09,2.4,1941,1941,100519,100519
521,SST1900-36(ETP),32.09,3.6,2912,2912,100520,100520
522,SST1900-48(ETP),32.09,4.8,3883,3883,100521,100521
523,SST1900-60(ETP),32.09,6,4853,4853,100522,100522
524,SST1900-72(ETP),32.09,7.2,5824,5824,100523,100523
525,SST1900-84(ETP),32.09,8.4,6795,6795,100524,100524
526,SST1900-96(ETP),32.09,9.6,7765,7765,100525,100525
527,SST1900-108(ETP),32.09,10.8,8736,8736,100526,100526
528,SST2085-24(ETP),33.61,2.4,2130,2130,100527,100527
529,SST2085-36(ETP),33.61,3.6,3194,3194,100528,100528
530,SST2085-48(ETP),33.61,4.8,4259,4259,100529,100529
531,SST2085-60(ETP),33.61,6,5324,5324,100530,100530
532,SST2085-72(ETP),33.61,7.2,6389,6389,100531,100531
533,SST2085-84(ETP),33.61,8.4,7454,7454,100532,100532
534,SST2085-96(ETP),33.61,9.6,8518,8518,100533,100533
535,SST2085-108(ETP),33.61,10.8,9583,9583,100534,100534
536,SST2180-24(ETP),34.38,2.4,2228,2228,100535,100535
537,SST2180-36(ETP),34.38,3.6,3342,3342,100536,100536
538,SST2180-48(ETP),34.38,4.8,4457,4457,100537,100537
539,SST2180-60(ETP),34.38,6,5571,5571,100538,100538
540,SST2180-72(ETP),34.38,7.2,6685,6685,100539,100539
541,SST2180-84(ETP),34.38,8.4,7799,7799,100540,100540
542,SST2180-96(ETP),34.38,9.6,8913,8913,100541,100541
543,SST2180-108(ETP),34.38,10.8,10027,10027,100542,100542
544,SST25-24(BioD),3.82,2.4,28,28,100543,100543
545,SST25-36(BioD),3.82,3.6,41,41,100544,100544
546,SST25-48(BioD),3.82,4.8,55,55,100545,100545
547,SST25-60(BioD),3.82,6,69,69,100546,100546
548,SST25-72(BioD),3.82,7.2,83,83,100547,100547
549,SST40-24(BioD),4.59,2.4,40,40,100548,100548
550,SST40-36(BioD),4.59,3.6,60,60,100549,100549
551,SST40-48(BioD),4.59,4.8,79,79,100550,100550
552,SST40-60(BioD),4.59,6,99,99,100551,100551
553,SST40-72(BioD),4.59,7.2,119,119,100552,100552
554,SST50-24(BioD),5.35,2.4,54,54,100553,100553
555,SST50-36(BioD),5.35,3.6,81,81,100554,100554
556,SST50-48(BioD),5.35,4.8,108,108,100555,100555
557,SST50-60(BioD),5.35,6,135,135,100556,100556
558,SST50-72(BioD),5.35,7.2,162,162,100557,100557
559,SST50-84(BioD),5.35,8.4,189,189,100558,100558
560,SST70-24(BioD),6.11,2.4,70,70,100559,100559
561,SST70-36(BioD),6.11,3.6,106,106,100560,100560
562,SST70-48(BioD),6.11,4.8,141,141,100561,100561
563,SST70-60(BioD),6.11,6,176,176,100562,100562
564,SST70-72(BioD),6.11,7.2,211,211,100563,100563
565,SST70-84(BioD),6.11,8.4,246,246,100564,100564
566,SST70-96(BioD),6.11,9.6,282,282,100565,100565
567,SST85-24(BioD),6.88,2.4,89,89,100566,100566
568,SST85-36(BioD),6.88,3.6,134,134,100567,100567
569,SST85-48(BioD),6.88,4.8,178,178,100568,100568
570,SST85-60(BioD),6.88,6,223,223,100569,100569
571,SST85-72(BioD),6.88,7.2,268,268,100570,100570
572,SST85-84(BioD),6.88,8.4,312,312,100571,100571
573,SST85-96(BioD),6.88,9.6,357,357,100572,100572
574,SST85-108(BioD),6.88,10.8,402,402,100573,100573
575,SST105-24(BioD),7.64,2.4,110,110,100574,100574
576,SST105-36(BioD),7.64,3.6,165,165,100575,100575
577,SST105-48(BioD),7.64,4.8,220,220,100576,100576
578,SST105-60(BioD),7.64,6,275,275,100577,100577
579,SST105-72(BioD),7.64,7.2,330,330,100578,100578
580,SST105-84(BioD),7.64,8.4,385,385,100579,100579
581,SST105-96(BioD),7.64,9.6,440,440,100580,100580
582,SST105-108(BioD),7.64,10.8,495,495,100581,100581
583,SST130-24(BioD),8.4,2.4,133,133,100582,100582
584,SST130-36(BioD),8.4,3.6,200,200,100583,100583
585,SST130-48(BioD),8.4,4.8,266,266,100584,100584
586,SST130-60(BioD),8.4,6,333,333,100585,100585
587,SST130-72(BioD),8.4,7.2,399,399,100586,100586
588,SST130-84(BioD),8.4,8.4,466,466,100587,100587
589,SST130-96(BioD),8.4,9.6,532,532,100588,100588
590,SST130-108(BioD),8.4,10.8,599,599,100589,100589
591,SST155-24(BioD),9.17,2.4,159,159,100590,100590
592,SST155-36(BioD),9.17,3.6,238,238,100591,100591
593,SST155-48(BioD),9.17,4.8,317,317,100592,100592
594,SST155-60(BioD),9.17,6,396,396,100593,100593
595,SST155-72(BioD),9.17,7.2,476,476,100594,100594
596,SST155-84(BioD),9.17,8.4,555,555,100595,100595
597,SST155-96(BioD),9.17,9.6,634,634,100596,100596
598,SST155-108(BioD),9.17,10.8,713,713,100597,100597
599,SST180-24(BioD),9.93,2.4,186,186,100598,100598
600,SST180-36(BioD),9.93,3.6,279,279,100599,100599
601,SST180-48(BioD),9.93,4.8,372,372,100600,100600
602,SST180-60(BioD),9.93,6,465,465,100601,100601
603,SST180-72(BioD),9.93,7.2,558,558,100602,100602
604,SST180-84(BioD),9.93,8.4,651,651,100603,100603
605,SST180-96(BioD),9.93,9.6,744,744,100604,100604
606,SST180-108(BioD),9.93,10.8,837,837,100605,100605
607,SST210-24(BioD),10.7,2.4,216,216,100606,100606
608,SST210-36(BioD),10.7,3.6,324,324,100607,100607
609,SST210-48(BioD),10.7,4.8,432,432,100608,100608
610,SST210-60(BioD),10.7,6,540,540,100609,100609
611,SST210-72(BioD),10.7,7.2,648,648,100610,100610
612,SST210-84(BioD),10.7,8.4,755,755,100611,100611
613,SST210-96(BioD),10.7,9.6,863,863,100612,100612
614,SST210-108(BioD),10.7,10.8,971,971,100613,100613
615,SST240-24(BioD),11.46,2.4,248,248,100614,100614
616,SST240-36(BioD),11.46,3.6,371,371,100615,100615
617,SST240-48(BioD),11.46,4.8,495,495,100616,100616
618,SST240-60(BioD),11.46,6,619,619,100617,100617
619,SST240-72(BioD),11.46,7.2,743,743,100618,100618
620,SST240-84(BioD),11.46,8.4,867,867,100619,100619
621,SST240-96(BioD),11.46,9.6,990,990,100620,100620
622,SST240-108(BioD),11.46,10.8,1114,1114,100621,100621
623,SST275-24(BioD),12.22,2.4,282,282,100622,100622
624,SST275-36(BioD),12.22,3.6,422,422,100623,100623
625,SST275-48(BioD),12.22,4.8,563,563,100624,100624
626,SST275-60(BioD),12.22,6,704,704,100625,100625
627,SST275-72(BioD),12.22,7.2,845,845,100626,100626
628,SST275-84(BioD),12.22,8.4,985,985,100627,100627
629,SST275-96(BioD),12.22,9.6,1126,1126,100628,100628
630,SST275-108(BioD),12.22,10.8,1267,1267,100629,100629
631,SST310-24(BioD),12.99,2.4,318,318,100630,100630
632,SST310-36(BioD),12.99,3.6,477,477,100631,100631
633,SST310-48(BioD),12.99,4.8,636,636,100632,100632
634,SST310-60(BioD),12.99,6,795,795,100633,100633
635,SST310-72(BioD),12.99,7.2,954,954,100634,100634
636,SST310-84(BioD),12.99,8.4,1113,1113,100635,100635
637,SST310-96(BioD),12.99,9.6,1272,1272,100636,100636
638,SST310-108(BioD),12.99,10.8,1431,1431,100637,100637
639,SST350-24(BioD),13.75,2.4,356,356,100638,100638
640,SST350-36(BioD),13.75,3.6,535,535,100639,100639
641,SST350-48(BioD),13.75,4.8,713,713,100640,100640
642,SST350-60(BioD),13.75,6,891,891,100641,100641
643,SST350-72(BioD),13.75,7.2,1069,1069,100642,100642
644,SST350-84(BioD),13.75,8.4,1247,1247,100643,100643
645,SST350-96(BioD),13.75,9.6,1426,1426,100644,100644
646,SST350-108(BioD),13.75,10.8,1604,1604,100645,100645
647,SST390-24(BioD),14.51,2.4,397,397,100646,100646
648,SST390-36(BioD),14.51,3.6,595,595,100647,100647
649,SST390-48(BioD),14.51,4.8,794,794,100648,100648
650,SST390-60(BioD),14.51,6,992,992,100649,100649
651,SST390-72(BioD),14.51,7.2,1191,1191,100650,100650
652,SST390-84(BioD),14.51,8.4,1389,1389,100651,100651
653,SST390-96(BioD),14.51,9.6,1588,1588,100652,100652
654,SST390-108(BioD),14.51,10.8,1786,1786,100653,100653
655,SST430-24(BioD),15.28,2.4,440,440,100654,100654
656,SST430-36(BioD),15.28,3.6,660,660,100655,100655
657,SST430-48(BioD),15.28,4.8,880,880,100656,100656
658,SST430-60(BioD),15.28,6,1100,1100,100657,100657
659,SST430-72(BioD),15.28,7.2,1320,1320,100658,100658
660,SST430-84(BioD),15.28,8.4,1541,1541,100659,100659
661,SST430-96(BioD),15.28,9.6,1761,1761,100660,100660
662,SST430-108(BioD),15.28,10.8,1981,1981,100661,100661
663,SST475-24(BioD),16.04,2.4,485,485,100662,100662
664,SST475-36(BioD),16.04,3.6,728,728,100663,100663
665,SST475-48(BioD),16.04,4.8,970,970,100664,100664
666,SST475-60(BioD),16.04,6,1213,1213,100665,100665
667,SST475-72(BioD),16.04,7.2,1455,1455,100666,100666
668,SST475-84(BioD),16.04,8.4,1698,1698,100667,100667
669,SST475-96(BioD),16.04,9.6,1940,1940,100668,100668
670,SST475-108(BioD),16.04,10.8,2183,2183,100669,100669
671,SST520-24(BioD),16.81,2.4,533,533,100670,100670
672,SST520-36(BioD),16.81,3.6,799,799,100671,100671
673,SST520-48(BioD),16.81,4.8,1065,1065,100672,100672
674,SST520-60(BioD),16.81,6,1332,1332,100673,100673
675,SST520-72(BioD),16.81,7.2,1598,1598,100674,100674
676,SST520-84(BioD),16.81,8.4,1864,1864,100675,100675
677,SST520-96(BioD),16.81,9.6,2131,2131,100676,100676
678,SST520-108(BioD),16.81,10.8,2397,2397,100677,100677
679,SST570-24(BioD),17.57,2.4,582,582,100678,100678
680,SST570-36(BioD),17.57,3.6,873,873,100679,100679
681,SST570-48(BioD),17.57,4.8,1164,1164,100680,100680
682,SST570-60(BioD),17.57,6,1455,1455,100681,100681
683,SST570-72(BioD),17.57,7.2,1746,1746,100682,100682
684,SST570-84(BioD),17.57,8.4,2037,2037,100683,100683
685,SST570-96(BioD),17.57,9.6,2328,2328,100684,100684
686,SST570-108(BioD),17.57,10.8,2619,2619,100685,100685
687,SST620-24(BioD),18.33,2.4,633,633,100686,100686
688,SST620-36(BioD),18.33,3.6,950,950,100687,100687
689,SST620-48(BioD),18.33,4.8,1267,1267,100688,100688
690,SST620-60(BioD),18.33,6,1584,1584,100689,100689
691,SST620-72(BioD),18.33,7.2,1900,1900,100690,100690
692,SST620-84(BioD),18.33,8.4,2217,2217,100691,100691
693,SST620-96(BioD),18.33,9.6,2534,2534,100692,100692
694,SST620-108(BioD),18.33,10.8,2850,2850,100693,100693
695,SST675-24(BioD),19.1,2.4,688,688,100694,100694
696,SST675-36(BioD),19.1,3.6,1032,1032,100695,100695
697,SST675-48(BioD),19.1,4.8,1375,1375,100696,100696
698,SST675-60(BioD),19.1,6,1719,1719,100697,100697
699,SST675-72(BioD),19.1,7.2,2063,2063,100698,100698
700,SST675-84(BioD),19.1,8.4,2407,2407,100699,100699
701,SST675-96(BioD),19.1,9.6,2751,2751,100700,100700
702,SST675-108(BioD),19.1,10.8,3095,3095,100701,100701
703,SST730-24(BioD),19.86,2.4,744,744,100702,100702
704,SST730-36(BioD),19.86,3.6,1115,1115,100703,100703
705,SST730-48(BioD),19.86,4.8,1487,1487,100704,100704
706,SST730-60(BioD),19.86,6,1859,1859,100705,100705
707,SST730-72(BioD),19.86,7.2,2231,2231,100706,100706
708,SST730-84(BioD),19.86,8.4,2602,2602,100707,100707
709,SST730-96(BioD),19.86,9.6,2974,2974,100708,100708
710,SST730-108(BioD),19.86,10.8,3346,3346,100709,100709
711,SST785-24(BioD),20.63,2.4,802,802,100710,100710
712,SST785-36(BioD),20.63,3.6,1204,1204,100711,100711
713,SST785-48(BioD),20.63,4.8,1605,1605,100712,100712
714,SST785-60(BioD),20.63,6,2006,2006,100713,100713
715,SST785-72(BioD),20.63,7.2,2407,2407,100714,100714
716,SST785-84(BioD),20.63,8.4,2808,2808,100715,100715
717,SST785-96(BioD),20.63,9.6,3209,3209,100716,100716
718,SST785-108(BioD),20.63,10.8,3611,3611,100717,100717
719,SST845-24(BioD),21.39,2.4,863,863,100718,100718
720,SST845-36(BioD),21.39,3.6,1294,1294,100719,100719
721,SST845-48(BioD),21.39,4.8,1725,1725,100720,100720
722,SST845-60(BioD),21.39,6,2156,2156,100721,100721
723,SST845-72(BioD),21.39,7.2,2588,2588,100722,100722
724,SST845-84(BioD),21.39,8.4,3019,3019,100723,100723
725,SST845-96(BioD),21.39,9.6,3450,3450,100724,100724
726,SST845-108(BioD),21.39,10.8,3881,3881,100725,100725
727,SST900-24(BioD),22.15,2.4,925,925,100726,100726
728,SST900-36(BioD),22.15,3.6,1387,1387,100727,100727
729,SST900-48(BioD),22.15,4.8,1850,1850,100728,100728
730,SST900-60(BioD),22.15,6,2312,2312,100729,100729
731,SST900-72(BioD),22.15,7.2,2775,2775,100730,100730
732,SST900-84(BioD),22.15,8.4,3237,3237,100731,100731
733,SST900-96(BioD),22.15,9.6,3700,3700,100732,100732
734,SST900-108(BioD),22.15,10.8,4162,4162,100733,100733
735,SST970-24(BioD),22.92,2.4,990,990,100734,100734
736,SST970-36(BioD),22.92,3.6,1486,1486,100735,100735
737,SST970-48(BioD),22.92,4.8,1981,1981,100736,100736
738,SST970-60(BioD),22.92,6,2476,2476,100737,100737
739,SST970-72(BioD),22.92,7.2,2971,2971,100738,100738
740,SST970-84(BioD),22.92,8.4,3466,3466,100739,100739
741,SST970-96(BioD),22.92,9.6,3961,3961,100740,100740
742,SST970-108(BioD),22.92,10.8,4457,4457,100741,100741
743,SST1060-24(BioD),23.98,2.4,1084,1084,100742,100742
744,SST1060-36(BioD),23.98,3.6,1626,1626,100743,100743
745,SST1060-48(BioD),23.98,4.8,2168,2168,100744,100744
746,SST1060-60(BioD),23.98,6,2710,2710,100745,100745
747,SST1060-72(BioD),23.98,7.2,3252,3252,100746,100746
748,SST1060-84(BioD),23.98,8.4,3794,3794,100747,100747
749,SST1060-96(BioD),23.98,9.6,4336,4336,100748,100748
750,SST1060-108(BioD),23.98,10.8,4878,4878,100749,100749
751,SST1100-24(BioD),24.45,2.4,1127,1127,100750,100750
752,SST1100-36(BioD),24.45,3.6,1690,1690,100751,100751
753,SST1100-48(BioD),24.45,4.8,2254,2254,100752,100752
754,SST1100-60(BioD),24.45,6,2817,2817,100753,100753
755,SST1100-72(BioD),24.45,7.2,3381,3381,100754,100754
756,SST1100-84(BioD),24.45,8.4,3944,3944,100755,100755
757,SST1100-96(BioD),24.45,9.6,4508,4508,100756,100756
758,SST1100-108(BioD),24.45,10.8,5071,5071,100757,100757
759,SST1175-24(BioD),25.21,2.4,1198,1198,100758,100758
760,SST1175-36(BioD),25.21,3.6,1797,1797,100759,100759
761,SST1175-48(BioD),25.21,4.8,2396,2396,100760,100760
762,SST1175-60(BioD),25.21,6,2995,2995,100761,100761
763,SST1175-72(BioD),25.21,7.2,3594,3594,100762,100762
764,SST1175-84(BioD),25.21,8.4,4193,4193,100763,100763
765,SST1175-96(BioD),25.21,9.6,4793,4793,100764,100764
766,SST1175-108(BioD),25.21,10.8,5392,5392,100765,100765
767,SST1245-24(BioD),25.97,2.4,1271,1271,100766,100766
768,SST1245-36(BioD),25.97,3.6,1907,1907,100767,100767
769,SST1245-48(BioD),25.97,4.8,2543,2543,100768,100768
770,SST1245-60(BioD),25.97,6,3179,3179,100769,100769
771,SST1245-72(BioD),25.97,7.2,3814,3814,100770,100770
772,SST1245-84(BioD),25.97,8.4,4450,4450,100771,100771
773,SST1245-96(BioD),25.97,9.6,5086,5086,100772,100772
774,SST1245-108(BioD),25.97,10.8,5722,5722,100773,100773
775,SST1320-24(BioD),26.74,2.4,1348,1348,100774,100774
776,SST1320-36(BioD),26.74,3.6,2022,2022,100775,100775
777,SST1320-48(BioD),26.74,4.8,2696,2696,100776,100776
778,SST1320-60(BioD),26.74,6,3370,3370,100777,100777
779,SST1320-72(BioD),26.74,7.2,4044,4044,100778,100778
780,SST1320-84(BioD),26.74,8.4,4718,4718,100779,100779
781,SST1320-96(BioD),26.74,9.6,5392,5392,100780,100780
782,SST1320-108(BioD),26.74,10.8,6066,6066,100781,100781
783,SST1395-24(BioD),27.5,2.4,1426,1426,100782,100782
784,SST1395-36(BioD),27.5,3.6,2139,2139,100783,100783
785,SST1395-48(BioD),27.5,4.8,2851,2851,100784,100784
786,SST1395-60(BioD),27.5,6,3564,3564,100785,100785
787,SST1395-72(BioD),27.5,7.2,4277,4277,100786,100786
788,SST1395-84(BioD),27.5,8.4,4990,4990,100787,100787
789,SST1395-96(BioD),27.5,9.6,5703,5703,100788,100788
790,SST1395-108(BioD),27.5,10.8,6416,6416,100789,100789
791,SST1475-24(BioD),28.27,2.4,1507,1507,100790,100790
792,SST1475-36(BioD),28.27,3.6,2260,2260,100791,100791
793,SST1475-48(BioD),28.27,4.8,3013,3013,100792,100792
794,SST1475-60(BioD),28.27,6,3767,3767,100793,100793
795,SST1475-72(BioD),28.27,7.2,4520,4520,100794,100794
796,SST1475-84(BioD),28.27,8.4,5273,5273,100795,100795
797,SST1475-96(BioD),28.27,9.6,6027,6027,100796,100796
798,SST1475-108(BioD),28.27,10.8,6780,6780,100797,100797
799,SST1555-24(BioD),29.03,2.4,1589,1589,100798,100798
800,SST1555-36(BioD),29.03,3.6,2383,2383,100799,100799
801,SST1555-48(BioD),29.03,4.8,3177,3177,100800,100800
802,SST1555-60(BioD),29.03,6,3972,3972,100801,100801
803,SST1555-72(BioD),29.03,7.2,4766,4766,100802,100802
804,SST1555-84(BioD),29.03,8.4,5561,5561,100803,100803
805,SST1555-96(BioD),29.03,9.6,6355,6355,100804,100804
