id,tank_model,diameter,height,net_capacity,gross_capacity,ideal_price,nrp
806,SST1555-108(BioD),29.03,10.8,7149,7149,100805,100805
807,SST1630-24(BioD),29.79,2.4,1673,1673,100806,100806
808,SST1630-36(BioD),29.79,3.6,2510,2510,100807,100807
809,SST1630-48(BioD),29.79,4.8,3346,3346,100808,100808
810,SST1630-60(BioD),29.79,6,4183,4183,100809,100809
811,SST1630-72(BioD),29.79,7.2,5019,5019,100810,100810
812,SST1630-84(BioD),29.79,8.4,5856,5856,100811,100811
813,SST1630-96(BioD),29.79,9.6,6692,6692,100812,100812
814,SST1630-108(BioD),29.79,10.8,7529,7529,100813,100813
815,SST1720-24(BioD),30.56,2.4,1761,1761,100814,100814
816,SST1720-36(BioD),30.56,3.6,2641,2641,100815,100815
817,SST1720-48(BioD),30.56,4.8,3521,3521,100816,100816
818,SST1720-60(BioD),30.56,6,4402,4402,100817,100817
819,SST1720-72(BioD),30.56,7.2,5282,5282,100818,100818
820,SST1720-84(BioD),30.56,8.4,6162,6162,100819,100819
821,SST1720-96(BioD),30.56,9.6,7042,7042,100820,100820
822,SST1720-108(BioD),30.56,10.8,7923,7923,100821,100821
823,SST1810-24(BioD),31.32,2.4,1849,1849,100822,100822
824,SST1810-36(BioD),31.32,3.6,2774,2774,100823,100823
825,SST1810-48(BioD),31.32,4.8,3699,3699,100824,100824
826,SST1810-60(BioD),31.32,6,4623,4623,100825,100825
827,SST1810-72(BioD),31.32,7.2,5548,5548,100826,100826
828,SST1810-84(BioD),31.32,8.4,6472,6472,100827,100827
829,SST1810-96(BioD),31.32,9.6,7397,7397,100828,100828
830,SST1810-108(BioD),31.32,10.8,8322,8322,100829,100829
831,SST1900-24(BioD),32.09,2.4,1941,1941,100830,100830
832,SST1900-36(BioD),32.09,3.6,2912,2912,100831,100831
833,SST1900-48(BioD),32.09,4.8,3883,3883,100832,100832
834,SST1900-60(BioD),32.09,6,4853,4853,100833,100833
835,SST1900-72(BioD),32.09,7.2,5824,5824,100834,100834
836,SST1900-84(BioD),32.09,8.4,6795,6795,100835,100835
837,SST1900-96(BioD),32.09,9.6,7765,7765,100836,100836
838,SST1900-108(BioD),32.09,10.8,8736,8736,100837,100837
839,SST2085-24(BioD),33.61,2.4,2130,2130,100838,100838
840,SST2085-36(BioD),33.61,3.6,3194,3194,100839,100839
841,SST2085-48(BioD),33.61,4.8,4259,4259,100840,100840
842,SST2085-60(BioD),33.61,6,5324,5324,100841,100841
843,SST2085-72(BioD),33.61,7.2,6389,6389,100842,100842
844,SST2085-84(BioD),33.61,8.4,7454,7454,100843,100843
845,SST2085-96(BioD),33.61,9.6,8518,8518,100844,100844
846,SST2085-108(BioD),33.61,10.8,9583,9583,100845,100845
847,SST2180-24(BioD),34.38,2.4,2228,2228,100846,100846
848,SST2180-36(BioD),34.38,3.6,3342,3342,100847,100847
849,SST2180-48(BioD),34.38,4.8,4457,4457,100848,100848
850,SST2180-60(BioD),34.38,6,5571,5571,100849,100849
851,SST2180-72(BioD),34.38,7.2,6685,6685,100850,100850
852,SST2180-84(BioD),34.38,8.4,7799,7799,100851,100851
853,SST2180-96(BioD),34.38,9.6,8913,8913,100852,100852
854,SST2180-108(BioD),34.38,10.8,10027,10027,100853,100853
855,GFS25-24,3.82,2.4,28,28,100854,100854
856,GFS25-36,3.82,3.6,41,41,100855,100855
857,GFS25-48,3.82,4.8,55,55,100856,100856
858,GFS25-60,3.82,6,69,69,100857,100857
859,GFS25-72,3.82,7.2,83,83,100858,100858
860,GFS40-24,4.59,2.4,40,40,100859,100859
861,GFS40-36,4.59,3.6,60,60,100860,100860
862,GFS40-48,4.59,4.8,79,79,100861,100861
863,GFS40-60,4.59,6,99,99,100862,100862
864,GFS40-72,4.59,7.2,119,119,100863,100863
865,GFS50-24,5.35,2.4,54,54,100864,100864
866,GFS50-36,5.35,3.6,81,81,100865,100865
867,GFS50-48,5.35,4.8,108,108,100866,100866
868,GFS50-60,5.35,6,135,135,100867,100867
869,GFS50-72,5.35,7.2,162,162,100868,100868
870,GFS50-84,5.35,8.4,189,189,100869,100869
871,GFS70-24,6.11,2.4,70,70,100870,100870
872,GFS70-36,6.11,3.6,106,106,100871,100871
873,GFS70-48,6.11,4.8,141,141,100872,100872
874,GFS70-60,6.11,6,176,176,100873,100873
875,GFS70-72,6.11,7.2,211,211,100874,100874
876,GFS70-84,6.11,8.4,246,246,100875,100875
877,GFS70-96,6.11,9.6,282,282,100876,100876
878,GFS85-24,6.88,2.4,89,89,100877,100877
879,GFS85-36,6.88,3.6,134,134,100878,100878
880,GFS85-48,6.88,4.8,178,178,100879,100879
881,GFS85-60,6.88,6,223,223,100880,100880
882,GFS85-72,6.88,7.2,268,268,100881,100881
883,GFS85-84,6.88,8.4,312,312,100882,100882
884,GFS85-96,6.88,9.6,357,357,100883,100883
885,GFS85-108,6.88,10.8,402,402,100884,100884
886,GFS105-24,7.64,2.4,110,110,100885,100885
887,GFS105-36,7.64,3.6,165,165,100886,100886
888,GFS105-48,7.64,4.8,220,220,100887,100887
889,GFS105-60,7.64,6,275,275,100888,100888
890,GFS105-72,7.64,7.2,330,330,100889,100889
891,GFS105-84,7.64,8.4,385,385,100890,100890
892,GFS105-96,7.64,9.6,440,440,100891,100891
893,GFS105-108,7.64,10.8,495,495,100892,100892
894,GFS130-24,8.4,2.4,133,133,100893,100893
895,GFS130-36,8.4,3.6,200,200,100894,100894
896,GFS130-48,8.4,4.8,266,266,100895,100895
897,GFS130-60,8.4,6,333,333,100896,100896
898,GFS130-72,8.4,7.2,399,399,100897,100897
899,GFS130-84,8.4,8.4,466,466,100898,100898
900,GFS130-96,8.4,9.6,532,532,100899,100899
901,GFS130-108,8.4,10.8,599,599,100900,100900
902,GFS155-24,9.17,2.4,159,159,100901,100901
903,GFS155-36,9.17,3.6,238,238,100902,100902
904,GFS155-48,9.17,4.8,317,317,100903,100903
905,GFS155-60,9.17,6,396,396,100904,100904
906,GFS155-72,9.17,7.2,476,476,100905,100905
907,GFS155-84,9.17,8.4,555,555,100906,100906
908,GFS155-96,9.17,9.6,634,634,100907,100907
909,GFS155-108,9.17,10.8,713,713,100908,100908
910,GFS180-24,9.93,2.4,186,186,100909,100909
911,GFS180-36,9.93,3.6,279,279,100910,100910
912,GFS180-48,9.93,4.8,372,372,100911,100911
913,GFS180-60,9.93,6,465,465,100912,100912
914,GFS180-72,9.93,7.2,558,558,100913,100913
915,GFS180-84,9.93,8.4,651,651,100914,100914
916,GFS180-96,9.93,9.6,744,744,100915,100915
917,GFS180-108,9.93,10.8,837,837,100916,100916
918,GFS210-24,10.7,2.4,216,216,100917,100917
919,GFS210-36,10.7,3.6,324,324,100918,100918
920,GFS210-48,10.7,4.8,432,432,100919,100919
921,GFS210-60,10.7,6,540,540,100920,100920
922,GFS210-72,10.7,7.2,648,648,100921,100921
923,GFS210-84,10.7,8.4,755,755,100922,100922
924,GFS210-96,10.7,9.6,863,863,100923,100923
925,GFS210-108,10.7,10.8,971,971,100924,100924
926,GFS240-24,11.46,2.4,248,248,100925,100925
927,GFS240-36,11.46,3.6,371,371,100926,100926
928,GFS240-48,11.46,4.8,495,495,100927,100927
929,GFS240-60,11.46,6,619,619,100928,100928
930,GFS240-72,11.46,7.2,743,743,100929,100929
931,GFS240-84,11.46,8.4,867,867,100930,100930
932,GFS240-96,11.46,9.6,990,990,100931,100931
933,GFS240-108,11.46,10.8,1114,1114,100932,100932
934,GFS275-24,12.22,2.4,282,282,100933,100933
935,GFS275-36,12.22,3.6,422,422,100934,100934
936,GFS275-48,12.22,4.8,563,563,100935,100935
937,GFS275-60,12.22,6,704,704,100936,100936
938,GFS275-72,12.22,7.2,845,845,100937,100937
939,GFS275-84,12.22,8.4,985,985,100938,100938
940,GFS275-96,12.22,9.6,1126,1126,100939,100939
941,GFS275-108,12.22,10.8,1267,1267,100940,100940
942,GFS310-24,12.99,2.4,318,318,100941,100941
943,GFS310-36,12.99,3.6,477,477,100942,100942
944,GFS310-48,12.99,4.8,636,636,100943,100943
945,GFS310-60,12.99,6,795,795,100944,100944
946,GFS310-72,12.99,7.2,954,954,100945,100945
947,GFS310-84,12.99,8.4,1113,1113,100946,100946
948,GFS310-96,12.99,9.6,1272,1272,100947,100947
949,GFS310-108,12.99,10.8,1431,1431,100948,100948
950,GFS350-24,13.75,2.4,356,356,100949,100949
951,GFS350-36,13.75,3.6,535,535,100950,100950
952,GFS350-48,13.75,4.8,713,713,100951,100951
953,GFS350-60,13.75,6,891,891,100952,100952
954,GFS350-72,13.75,7.2,1069,1069,100953,100953
955,GFS350-84,13.75,8.4,1247,1247,100954,100954
956,GFS350-96,13.75,9.6,1426,1426,100955,100955
957,GFS350-108,13.75,10.8,1604,1604,100956,100956
958,GFS390-24,14.51,2.4,397,397,100957,100957
959,GFS390-36,14.51,3.6,595,595,100958,100958
960,GFS390-48,14.51,4.8,794,794,100959,100959
961,GFS390-60,14.51,6,992,992,100960,100960
962,GFS390-72,14.51,7.2,1191,1191,100961,100961
963,GFS390-84,14.51,8.4,1389,1389,100962,100962
964,GFS390-96,14.51,9.6,1588,1588,100963,100963
965,GFS390-108,14.51,10.8,1786,1786,100964,100964
966,GFS430-24,15.28,2.4,440,440,100965,100965
967,GFS430-36,15.28,3.6,660,660,100966,100966
968,GFS430-48,15.28,4.8,880,880,100967,100967
969,GFS430-60,15.28,6,1100,1100,100968,100968
970,GFS430-72,15.28,7.2,1320,1320,100969,100969
971,GFS430-84,15.28,8.4,1541,1541,100970,100970
972,GFS430-96,15.28,9.6,1761,1761,100971,100971
973,GFS430-108,15.28,10.8,1981,1981,100972,100972
974,GFS475-24,16.04,2.4,485,485,100973,100973
975,GFS475-36,16.04,3.6,728,728,100974,100974
976,GFS475-48,16.04,4.8,970,970,100975,100975
977,GFS475-60,16.04,6,1213,1213,100976,100976
978,GFS475-72,16.04,7.2,1455,1455,100977,100977
979,GFS475-84,16.04,8.4,1698,1698,100978,100978
980,GFS475-96,16.04,9.6,1940,1940,100979,100979
981,GFS475-108,16.04,10.8,2183,2183,100980,100980
982,GFS520-24,16.81,2.4,533,533,100981,100981
983,GFS520-36,16.81,3.6,799,799,100982,100982
984,GFS520-48,16.81,4.8,1065,1065,100983,100983
985,GFS520-60,16.81,6,1332,1332,100984,100984
986,GFS520-72,16.81,7.2,1598,1598,100985,100985
987,GFS520-84,16.81,8.4,1864,1864,100986,100986
988,GFS520-96,16.81,9.6,2131,2131,100987,100987
989,GFS520-108,16.81,10.8,2397,2397,100988,100988
990,GFS570-24,17.57,2.4,582,582,100989,100989
991,GFS570-36,17.57,3.6,873,873,100990,100990
992,GFS570-48,17.57,4.8,1164,1164,100991,100991
993,GFS570-60,17.57,6,1455,1455,100992,100992
994,GFS570-72,17.57,7.2,1746,1746,100993,100993
995,GFS570-84,17.57,8.4,2037,2037,100994,100994
996,GFS570-96,17.57,9.6,2328,2328,100995,100995
997,GFS570-108,17.57,10.8,2619,2619,100996,100996
998,GFS620-24,18.33,2.4,633,633,100997,100997
999,GFS620-36,18.33,3.6,950,950,100998,100998
1000,GFS620-48,18.33,4.8,1267,1267,100999,100999
1001,GFS620-60,18.33,6,1584,1584,101000,101000
1002,GFS620-72,18.33,7.2,1900,1900,101001,101001
1003,GFS620-84,18.33,8.4,2217,2217,101002,101002
1004,GFS620-96,18.33,9.6,2534,2534,101003,101003
1005,GFS620-108,18.33,10.8,2850,2850,101004,101004
1006,GFS675-24,19.1,2.4,688,688,101005,101005
1007,GFS675-36,19.1,3.6,1032,1032,101006,101006
1008,GFS675-48,19.1,4.8,1375,1375,101007,101007
1009,GFS675-60,19.1,6,1719,1719,101008,101008
1010,GFS675-72,19.1,7.2,2063,2063,101009,101009
1011,GFS675-84,19.1,8.4,2407,2407,101010,101010
1012,GFS675-96,19.1,9.6,2751,2751,101011,101011
1013,GFS675-108,19.1,10.8,3095,3095,101012,101012
1014,GFS730-24,19.86,2.4,744,744,101013,101013
1015,GFS730-36,19.86,3.6,1115,1115,101014,101014
1016,GFS730-48,19.86,4.8,1487,1487,101015,101015
1017,GFS730-60,19.86,6,1859,1859,101016,101016
1018,GFS730-72,19.86,7.2,2231,2231,101017,101017
1019,GFS730-84,19.86,8.4,2602,2602,101018,101018
1020,GFS730-96,19.86,9.6,2974,2974,101019,101019
1021,GFS730-108,19.86,10.8,3346,3346,101020,101020
1022,GFS785-24,20.63,2.4,802,802,101021,101021
1023,GFS785-36,20.63,3.6,1204,1204,101022,101022
1024,GFS785-48,20.63,4.8,1605,1605,101023,101023
1025,GFS785-60,20.63,6,2006,2006,101024,101024
1026,GFS785-72,20.63,7.2,2407,2407,101025,101025
1027,GFS785-84,20.63,8.4,2808,2808,101026,101026
1028,GFS785-96,20.63,9.6,3209,3209,101027,101027
1029,GFS785-108,20.63,10.8,3611,3611,101028,101028
1030,GFS845-24,21.39,2.4,863,863,101029,101029
1031,GFS845-36,21.39,3.6,1294,1294,101030,101030
1032,GFS845-48,21.39,4.8,1725,1725,101031,101031
1033,GFS845-60,21.39,6,2156,2156,101032,101032
1034,GFS845-72,21.39,7.2,2588,2588,101033,101033
1035,GFS845-84,21.39,8.4,3019,3019,101034,101034
1036,GFS845-96,21.39,9.6,3450,3450,101035,101035
1037,GFS845-108,21.39,10.8,3881,3881,101036,101036
1038,GFS900-24,22.15,2.4,925,925,101037,101037
1039,GFS900-36,22.15,3.6,1387,1387,101038,101038
1040,GFS900-48,22.15,4.8,1850,1850,101039,101039
1041,GFS900-60,22.15,6,2312,2312,101040,101040
1042,GFS900-72,22.15,7.2,2775,2775,101041,101041
1043,GFS900-84,22.15,8.4,3237,3237,101042,101042
1044,GFS900-96,22.15,9.6,3700,3700,101043,101043
1045,GFS900-108,22.15,10.8,4162,4162,101044,101044
1046,GFS970-24,22.92,2.4,990,990,101045,101045
1047,GFS970-36,22.92,3.6,1486,1486,101046,101046
1048,GFS970-48,22.92,4.8,1981,1981,101047,101047
1049,GFS970-60,22.92,6,2476,2476,101048,101048
1050,GFS970-72,22.92,7.2,2971,2971,101049,101049
1051,GFS970-84,22.92,8.4,3466,3466,101050,101050
1052,GFS970-96,22.92,9.6,3961,3961,101051,101051
1053,GFS970-108,22.92,10.8,4457,4457,101052,101052
1054,GFS1060-24,23.98,2.4,1084,1084,101053,101053
1055,GFS1060-36,23.98,3.6,1626,1626,101054,101054
1056,GFS1060-48,23.98,4.8,2168,2168,101055,101055
1057,GFS1060-60,23.98,6,2710,2710,101056,101056
1058,GFS1060-72,23.98,7.2,3252,3252,101057,101057
1059,GFS1060-84,23.98,8.4,3794,3794,101058,101058
1060,GFS1060-96,23.98,9.6,4336,4336,101059,101059
1061,GFS1060-108,23.98,10.8,4878,4878,101060,101060
1062,GFS1100-24,24.45,2.4,1127,1127,101061,101061
1063,GFS1100-36,24.45,3.6,1690,1690,101062,101062
1064,GFS1100-48,24.45,4.8,2254,2254,101063,101063
1065,GFS1100-60,24.45,6,2817,2817,101064,101064
1066,GFS1100-72,24.45,7.2,3381,3381,101065,101065
1067,GFS1100-84,24.45,8.4,3944,3944,101066,101066
1068,GFS1100-96,24.45,9.6,4508,4508,101067,101067
1069,GFS1100-108,24.45,10.8,5071,5071,101068,101068
1070,GFS1175-24,25.21,2.4,1198,1198,101069,101069
1071,GFS1175-36,25.21,3.6,1797,1797,101070,101070
1072,GFS1175-48,25.21,4.8,2396,2396,101071,101071
1073,GFS1175-60,25.21,6,2995,2995,101072,101072
1074,GFS1175-72,25.21,7.2,3594,3594,101073,101073
1075,GFS1175-84,25.21,8.4,4193,4193,101074,101074
1076,GFS1175-96,25.21,9.6,4793,4793,101075,101075
1077,GFS1175-108,25.21,10.8,5392,5392,101076,101076
1078,GFS1245-24,25.97,2.4,1271,1271,101077,101077
1079,GFS1245-36,25.97,3.6,1907,1907,101078,101078
1080,GFS1245-48,25.97,4.8,2543,2543,101079,101079
1081,GFS1245-60,25.97,6,3179,3179,101080,101080
1082,GFS1245-72,25.97,7.2,3814,3814,101081,101081
1083,GFS1245-84,25.97,8.4,4450,4450,101082,101082
1084,GFS1245-96,25.97,9.6,5086,5086,101083,101083
1085,GFS1245-108,25.97,10.8,5722,5722,101084,101084
1086,GFS1320-24,26.74,2.4,1348,1348,101085,101085
1087,GFS1320-36,26.74,3.6,2022,2022,101086,101086
1088,GFS1320-48,26.74,4.8,2696,2696,101087,101087
1089,GFS1320-60,26.74,6,3370,3370,101088,101088
1090,GFS1320-72,26.74,7.2,4044,4044,101089,101089
1091,GFS1320-84,26.74,8.4,4718,4718,101090,101090
1092,GFS1320-96,26.74,9.6,5392,5392,101091,101091
1093,GFS1320-108,26.74,10.8,6066,6066,101092,101092
1094,GFS1395-24,27.5,2.4,1426,1426,101093,101093
1095,GFS1395-36,27.5,3.6,2139,2139,101094,101094
1096,GFS1395-48,27.5,4.8,2851,2851,101095,101095
1097,GFS1395-60,27.5,6,3564,3564,101096,101096
1098,GFS1395-72,27.5,7.2,4277,4277,101097,101097
1099,GFS1395-84,27.5,8.4,4990,4990,101098,101098
1100,GFS1395-96,27.5,9.6,5703,5703,101099,101099
1101,GFS1395-108,27.5,10.8,6416,6416,101100,101100
1102,GFS1475-24,28.27,2.4,1507,1507,101101,101101
1103,GFS1475-36,28.27,3.6,2260,2260,101102,101102
1104,GFS1475-48,28.27,4.8,3013,3013,101103,101103
1105,GFS1475-60,28.27,6,3767,3767,101104,101104
1106,GFS1475-72,28.27,7.2,4520,4520,101105,101105
1107,GFS1475-84,28.27,8.4,5273,5273,101106,101106
1108,GFS1475-96,28.27,9.6,6027,6027,101107,101107
1109,GFS1475-108,28.27,10.8,6780,6780,101108,101108
1110,GFS1555-24,29.03,2.4,1589,1589,101109,101109
1111,GFS1555-36,29.03,3.6,2383,2383,101110,101110
1112,GFS1555-48,29.03,4.8,3177,3177,101111,101111
1113,GFS1555-60,29.03,6,3972,3972,101112,101112
1114,GFS1555-72,29.03,7.2,4766,4766,101113,101113
1115,GFS1555-84,29.03,8.4,5561,5561,101114,101114
1116,GFS1555-96,29.03,9.6,6355,6355,101115,101115
1117,GFS1555-108,29.03,10.8,7149,7149,101116,101116
1118,GFS1630-24,29.79,2.4,1673,1673,101117,101117
1119,GFS1630-36,29.79,3.6,2510,2510,101118,101118
1120,GFS1630-48,29.79,4.8,3346,3346,101119,101119
1121,GFS1630-60,29.79,6,4183,4183,101120,101120
1122,GFS1630-72,29.79,7.2,5019,5019,101121,101121
1123,GFS1630-84,29.79,8.4,5856,5856,101122,101122
1124,GFS1630-96,29.79,9.6,6692,6692,101123,101123
1125,GFS1630-108,29.79,10.8,7529,7529,101124,101124
1126,GFS1720-24,30.56,2.4,1761,1761,101125,101125
1127,GFS1720-36,30.56,3.6,2641,2641,101126,101126
1128,GFS1720-48,30.56,4.8,3521,3521,101127,101127
1129,GFS1720-60,30.56,6,4402,4402,101128,101128
1130,GFS1720-72,30.56,7.2,5282,5282,101129,101129
1131,GFS1720-84,30.56,8.4,6162,6162,101130,101130
1132,GFS1720-96,30.56,9.6,7042,7042,101131,101131
1133,GFS1720-108,30.56,10.8,7923,7923,101132,101132
1134,GFS1810-24,31.32,2.4,1849,1849,101133,101133
1135,GFS1810-36,31.32,3.6,2774,2774,101134,101134
1136,GFS1810-48,31.32,4.8,3699,3699,101135,101135
1137,GFS1810-60,31.32,6,4623,4623,101136,101136
1138,GFS1810-72,31.32,7.2,5548,5548,101137,101137
1139,GFS1810-84,31.32,8.4,6472,6472,101138,101138
1140,GFS1810-96,31.32,9.6,7397,7397,101139,101139
1141,GFS1810-108,31.32,10.8,8322,8322,101140,101140
1142,GFS1900-24,32.09,2.4,1941,1941,101141,101141
1143,GFS1900-36,32.09,3.6,2912,2912,101142,101142
1144,GFS1900-48,32.09,4.8,3883,3883,101143,101143
1145,GFS1900-60,32.09,6,4853,4853,101144,101144
1146,GFS1900-72,32.09,7.2,5824,5824,101145,101145
1147,GFS1900-84,32.09,8.4,6795,6795,101146,101146
1148,GFS1900-96,32.09,9.6,7765,7765,101147,101147
1149,GFS1900-108,32.09,10.8,8736,8736,101148,101148
1150,GFS2085-24,33.61,2.4,2130,2130,101149,101149
1151,GFS2085-36,33.61,3.6,3194,3194,101150,101150
1152,GFS2085-48,33.61,4.8,4259,4259,101151,101151
1153,GFS2085-60,33.61,6,5324,5324,101152,101152
1154,GFS2085-72,33.61,7.2,6389,6389,101153,101153
1155,GFS2085-84,33.61,8.4,7454,7454,101154,101154
1156,GFS2085-96,33.61,9.6,8518,8518,101155,101155
1157,GFS2085-108,33.61,10.8,9583,9583,101156,101156
1158,GFS2180-24,34.38,2.4,2228,2228,101157,101157
1159,GFS2180-36,34.38,3.6,3342,3342,101158,101158
1160,GFS2180-48,34.38,4.8,4457,4457,101159,101159
1161,GFS2180-60,34.38,6,5571,5571,101160,101160
1162,GFS2180-72,34.38,7.2,6685,6685,101161,101161
1163,GFS2180-84,34.38,8.4,7799,7799,101162,101162
1164,GFS2180-96,34.38,9.6,8913,8913,101163,101163
1165,GFS2180-108,34.38,10.8,10027,10027,101164,101164
